material,species,dir,nx,ny,nz,e_d_eV
W,W,0,-0.4161,0.83167,-0.36767,160.0
W,W,1,-0.31355,-0.92554,-0.21227,50.0
W,W,2,0.70445,0.26872,0.65691,110.0
W,W,3,0.49569,0.78618,0.36908,80.0
W,W,4,-0.85879,0.44085,0.26102,160.0
W,W,5,0.20113,-0.68199,-0.70316,90.0
W,W,6,-0.84671,-0.44561,0.29071,180.0
W,W,7,-0.05543,0.62901,-0.77542,95.0
W,W,8,0.37224,0.47528,-0.79721,80.0
W,W,9,0.79287,0.25695,0.55258,170.0
W,W,10,-0.60536,-0.72167,-0.33574,70.0
W,W,11,-0.15481,0.91948,0.36138,55.0
W,W,12,-0.37988,-0.81257,-0.44206,90.0
W,W,13,0.82252,-0.54431,0.16489,120.0
W,W,14,0.27511,-0.9609,0.03127,40.0
W,W,15,0.53927,-0.8316,-0.13277,120.0
W,W,16,-0.11026,-0.84902,0.51672,130.0
W,W,17,-0.03699,-0.86997,0.49172,120.0
W,W,18,0.36204,0.51161,0.77922,80.0
W,W,19,0.26754,0.08809,-0.95951,45.0
