step,vacancies,interstitials
7001,0,0
7500,1,1
8000,6,6
8500,12,12
9000,28,28
9500,96,96
10000,349,349
10500,195,195
11000,160,160
11500,157,157
12000,148,148
12500,153,153
13000,152,152
13500,153,153
14000,149,149
14500,150,150
15000,152,152
15500,159,159
16000,145,145
16500,158,158
17000,156,156
17500,150,150
18000,150,150
18500,158,158
19000,155,155
19500,150,150
20000,150,150
20500,153,153
21000,156,156
21500,154,154
22000,154,154
22500,155,155
23000,153,153
23500,155,155
24000,152,152
24500,156,156
25000,158,158
25500,159,159
26000,155,155
26500,151,151
27000,148,148
