step,vacancies,interstitials
7001,0,0
7500,6,6
8000,61,61
8500,118,118
9000,51,51
9500,31,31
10000,20,20
10500,18,18
11000,15,15
11500,14,14
12000,13,13
12500,12,12
13000,12,12
13500,12,12
14000,12,12
14500,12,12
15000,12,12
15500,12,12
16000,12,12
16500,12,12
17000,12,12
17500,12,12
18000,12,12
18500,12,12
19000,12,12
19500,12,12
20000,12,12
20500,12,12
21000,12,12
21500,12,12
22000,12,12
22500,12,12
23000,12,12
23500,12,12
24000,12,12
24500,12,12
25000,12,12
25500,12,12
26000,12,12
26500,12,12
27000,12,12
