# W electronic stopping (SRIM-derived friction)
# columns: energy[eV]  dE/dx_W[eV/Ang]
     10.0000     0.684432
     10.4010     0.698020
     10.8181     0.711878
     11.2519     0.726011
     11.7031     0.740424
     12.1724     0.755124
     12.6605     0.770115
     13.1682     0.785404
     13.6962     0.800996
     14.2454     0.816899
     14.8167     0.833116
     15.4108     0.849656
     16.0288     0.866524
     16.6716     0.883727
     17.3401     0.901272
     18.0354     0.919165
     18.7586     0.937413
     19.5109     0.956023
     20.2932     0.975003
     21.1070     0.994360
     21.9534     1.014101
     22.8337     1.034233
     23.7493     1.054766
     24.7017     1.075706
     25.6922     1.097062
     26.7225     1.118842
     27.7941     1.141054
     28.9086     1.163707
     30.0678     1.186810
     31.2736     1.210372
     32.5276     1.234401
     33.8320     1.258908
     35.1886     1.283901
     36.5997     1.309390
     38.0673     1.335385
     39.5938     1.361897
     41.1816     1.388934
     42.8329     1.416509
     44.5505     1.444630
     46.3370     1.473310
     48.1951     1.502560
     50.1277     1.532390
     52.1379     1.562813
     54.2286     1.593839
     56.4031     1.625481
     58.6649     1.657752
     61.0174     1.690663
     63.4642     1.724228
     66.0091     1.758458
     68.6560     1.793369
     71.4091     1.828973
     74.2726     1.865283
     77.2510     1.902314
     80.3487     1.940081
     83.5707     1.978597
     86.9219     2.017878
     90.4075     2.057939
     94.0328     2.098795
     97.8035     2.140462
    101.7254     2.182956
    105.8046     2.226294
    110.0474     2.270493
    114.4602     2.315569
    119.0501     2.361539
    123.8240     2.408423
    128.7893     2.456237
    133.9538     2.505000
    139.3253     2.554732
    144.9123     2.605451
    150.7232     2.657177
    156.7672     2.709929
    163.0536     2.763729
    169.5920     2.818597
    176.3927     2.874555
    183.4660     2.931623
    190.8230     2.989824
    198.4750     3.049181
    206.4338     3.109716
    214.7118     3.171453
    223.3217     3.234415
    232.2769     3.298628
    241.5912     3.364115
    251.2790     3.430903
    261.3553     3.499016
    271.8356     3.568482
    282.7362     3.639326
    294.0739     3.711578
    305.8663     3.785263
    318.1315     3.860412
    330.8885     3.937052
    344.1571     4.015214
    357.9578     4.094928
    372.3119     4.176224
    387.2416     4.259134
    402.7700     4.343690
    418.9210     4.429925
    435.7197     4.517872
    453.1921     4.607565
    471.3651     4.699038
    490.2668     4.792328
    509.9265     4.887470
    530.3745     4.984500
    551.6425     5.083457
    573.7633     5.184378
    596.7712     5.287303
    620.7017     5.392272
    645.5918     5.499324
    671.4800     5.608501
    698.4063     5.719847
    726.4124     5.833402
    755.5415     5.949212
    785.8386     6.067321
    817.3507     6.187775
    850.1264     6.310621
    884.2165     6.435905
    919.6735     6.563676
    956.5524     6.693984
    994.9101     6.826879
   1034.8059     6.962413
   1076.3016     7.100637
   1119.4612     7.241605
   1164.3516     7.385372
   1211.0420     7.531993
   1259.6047     7.681525
   1310.1148     7.834025
   1362.6503     7.989554
   1417.2925     8.148170
   1474.1259     8.309934
   1533.2383     8.474911
   1594.7211     8.643162
   1658.6693     8.814754
   1725.1818     8.989753
   1794.3616     9.168225
   1866.3154     9.350241
   1941.1545     9.535871
   2018.9947     9.725186
   2099.9563     9.918259
   2184.1644    10.115165
   2271.7493    10.315980
   2362.8464    10.520783
   2457.5964    10.729651
   2556.1459    10.942665
   2658.6472    11.159909
   2765.2588    11.381466
   2876.1456    11.607421
   2991.4788    11.837862
   3111.4370    12.072878
   3236.2055    12.312560
   3365.9771    12.557000
   3500.9527    12.806293
   3641.3407    13.060535
   3787.3583    13.319824
   3939.2311    13.584262
   4097.1941    13.853949
   4261.4914    14.128990
   4432.3770    14.409491
   4610.1151    14.695562
   4794.9805    14.987311
   4987.2589    15.284853
   5187.2478    15.588302
   5395.2561    15.897775
   5611.6056    16.213392
   5836.6307    16.535275
   6070.6793    16.863548
   6314.1133    17.198338
   6567.3089    17.539775
   6830.6577    17.887991
   7104.5667    18.243119
   7389.4595    18.605298
   7685.7764    18.974668
   7993.9757    19.351370
   8314.5337    19.735551
   8647.9461    20.127359
   8994.7283    20.526945
   9355.4164    20.934465
   9730.5681    21.350075
  10120.7634    21.773936
  10526.6055    22.206212
  10948.7219    22.647070
  11387.7651    23.096680
  11844.4139    23.555216
  12319.3743    24.022856
  12813.3806    24.499779
  13327.1965    24.986171
  13861.6164    25.482219
  14417.4666    25.988115
  14995.6062    26.504055
  15596.9293    27.030237
  16222.3654    27.566866
  16872.8814    28.114148
  17549.4831    28.672296
  18253.2165    29.241524
  18985.1696    29.822053
  19746.4739    30.414108
  20538.3065    31.017916
  21361.8916    31.633712
  22218.5024    32.261733
  23109.4632    32.902222
  24036.1515    33.555427
  25000.0000    34.221600
