material,species,dir,e_d_eV,method
SiC,C,0,25.0,ramp_v3
SiC,C,1,35.0,ramp_v3
SiC,C,2,25.0,ramp_v3
SiC,C,3,25.0,ramp_v3
SiC,C,4,47.5,ramp_v3
SiC,C,5,27.5,ramp_v3
SiC,C,6,27.5,ramp_v3
SiC,C,7,35.0,ramp_v3
SiC,C,8,42.5,ramp_v3
SiC,C,9,27.5,ramp_v3
SiC,C,10,60.0,ramp_v3
SiC,C,11,40.0,ramp_v3
SiC,C,12,57.5,ramp_v3
SiC,C,13,35.0,ramp_v3
SiC,Si,0,30.0,ramp_v3
SiC,Si,1,35.0,ramp_v3
SiC,Si,2,45.0,ramp_v3
SiC,Si,3,35.0,ramp_v3
SiC,Si,4,30.0,ramp_v3
SiC,Si,5,55.0,ramp_v3
SiC,Si,6,30.0,ramp_v3
SiC,Si,7,50.0,ramp_v3
SiC,Si,8,40.0,ramp_v3
SiC,Si,9,40.0,ramp_v3
SiC,Si,10,35.0,ramp_v3
SiC,Si,11,50.0,ramp_v3
SiC,Si,12,35.0,ramp_v3
SiC,Si,13,35.0,ramp_v3
SiC,Si,14,20.0,ramp_v3
SiC,Si,15,35.0,ramp_v3
SiC,Si,16,35.0,ramp_v3
SiC,Si,17,30.0,ramp_v3
SiC,Si,18,40.0,ramp_v3
SiC,Si,19,20.0,ramp_v3
