# Fe electronic stopping (SRIM-derived friction)
# columns: energy[eV]  dE/dx_Fe[eV/Ang]
     10.0000     0.340233
     10.4010     0.346988
     10.8181     0.353876
     11.2519     0.360902
     11.7031     0.368067
     12.1724     0.375374
     12.6605     0.382826
     13.1682     0.390426
     13.6962     0.398178
     14.2454     0.406083
     14.8167     0.414144
     15.4108     0.422366
     16.0288     0.430752
     16.6716     0.439303
     17.3401     0.448025
     18.0354     0.456919
     18.7586     0.465991
     19.5109     0.475242
     20.2932     0.484677
     21.1070     0.494299
     21.9534     0.504112
     22.8337     0.514120
     23.7493     0.524327
     24.7017     0.534737
     25.6922     0.545353
     26.7225     0.556179
     27.7941     0.567221
     28.9086     0.578482
     30.0678     0.589967
     31.2736     0.601679
     32.5276     0.613624
     33.8320     0.625807
     35.1886     0.638231
     36.5997     0.650901
     38.0673     0.663824
     39.5938     0.677003
     41.1816     0.690443
     42.8329     0.704150
     44.5505     0.718130
     46.3370     0.732387
     48.1951     0.746927
     50.1277     0.761755
     52.1379     0.776878
     54.2286     0.792302
     56.4031     0.808031
     58.6649     0.824073
     61.0174     0.840433
     63.4642     0.857118
     66.0091     0.874135
     68.6560     0.891489
     71.4091     0.909187
     74.2726     0.927237
     77.2510     0.945646
     80.3487     0.964419
     83.5707     0.983566
     86.9219     1.003093
     90.4075     1.023007
     94.0328     1.043317
     97.8035     1.064030
    101.7254     1.085154
    105.8046     1.106697
    110.0474     1.128668
    114.4602     1.151076
    119.0501     1.173928
    123.8240     1.197234
    128.7893     1.221002
    133.9538     1.245243
    139.3253     1.269964
    144.9123     1.295177
    150.7232     1.320890
    156.7672     1.347113
    163.0536     1.373857
    169.5920     1.401132
    176.3927     1.428949
    183.4660     1.457318
    190.8230     1.486250
    198.4750     1.515756
    206.4338     1.545848
    214.7118     1.576538
    223.3217     1.607837
    232.2769     1.639757
    241.5912     1.672311
    251.2790     1.705511
    261.3553     1.739371
    271.8356     1.773902
    282.7362     1.809119
    294.0739     1.845035
    305.8663     1.881665
    318.1315     1.919021
    330.8885     1.957119
    344.1571     1.995974
    357.9578     2.035600
    372.3119     2.076012
    387.2416     2.117227
    402.7700     2.159260
    418.9210     2.202128
    435.7197     2.245847
    453.1921     2.290433
    471.3651     2.335905
    490.2668     2.382280
    509.9265     2.429575
    530.3745     2.477809
    551.6425     2.527001
    573.7633     2.577169
    596.7712     2.628333
    620.7017     2.680513
    645.5918     2.733729
    671.4800     2.788002
    698.4063     2.843352
    726.4124     2.899800
    755.5415     2.957370
    785.8386     3.016082
    817.3507     3.075960
    850.1264     3.137027
    884.2165     3.199306
    919.6735     3.262822
    956.5524     3.327598
    994.9101     3.393661
   1034.8059     3.461035
   1076.3016     3.529746
   1119.4612     3.599822
   1164.3516     3.671289
   1211.0420     3.744175
   1259.6047     3.818507
   1310.1148     3.894316
   1362.6503     3.971629
   1417.2925     4.050478
   1474.1259     4.130891
   1533.2383     4.212902
   1594.7211     4.296540
   1658.6693     4.381839
   1725.1818     4.468831
   1794.3616     4.557550
   1866.3154     4.648031
   1941.1545     4.740308
   2018.9947     4.834417
   2099.9563     4.930394
   2184.1644     5.028276
   2271.7493     5.128102
   2362.8464     5.229910
   2457.5964     5.333739
   2556.1459     5.439629
   2658.6472     5.547622
   2765.2588     5.657758
   2876.1456     5.770081
   2991.4788     5.884634
   3111.4370     6.001461
   3236.2055     6.120607
   3365.9771     6.242119
   3500.9527     6.366044
   3641.3407     6.492428
   3787.3583     6.621322
   3939.2311     6.752774
   4097.1941     6.886836
   4261.4914     7.023560
   4432.3770     7.162998
   4610.1151     7.305204
   4794.9805     7.450234
   4987.2589     7.598143
   5187.2478     7.748988
   5395.2561     7.902828
   5611.6056     8.059722
   5836.6307     8.219731
   6070.6793     8.382916
   6314.1133     8.549342
   6567.3089     8.719071
   6830.6577     8.892170
   7104.5667     9.068705
   7389.4595     9.248745
   7685.7764     9.432360
   7993.9757     9.619620
   8314.5337     9.810597
   8647.9461    10.005366
   8994.7283    10.204001
   9355.4164    10.406580
   9730.5681    10.613181
  10120.7634    10.823884
  10526.6055    11.038769
  10948.7219    11.257921
  11387.7651    11.481423
  11844.4139    11.709363
  12319.3743    11.941828
  12813.3806    12.178908
  13327.1965    12.420695
  13861.6164    12.667282
  14417.4666    12.918764
  14995.6062    13.175239
  15596.9293    13.436806
  16222.3654    13.703565
  16872.8814    13.975621
  17549.4831    14.253078
  18253.2165    14.536043
  18985.1696    14.824625
  19746.4739    15.118937
  20538.3065    15.419092
  21361.8916    15.725206
  22218.5024    16.037397
  23109.4632    16.355786
  24036.1515    16.680496
  25000.0000    17.011652
