# SiC electronic stopping (Lindhard-Scharff)
# columns: energy[eV]  dE/dx_Si[eV/Ang]  dE/dx_C[eV/Ang]
     10.0000     0.434034     0.372652
     10.4010     0.442651     0.380050
     10.8181     0.451439     0.387595
     11.2519     0.460402     0.395290
     11.7031     0.469542     0.403138
     12.1724     0.478864     0.411141
     12.6605     0.488370     0.419303
     13.1682     0.498066     0.427628
     13.6962     0.507954     0.436117
     14.2454     0.518038     0.444776
     14.8167     0.528323     0.453606
     15.4108     0.538812     0.462611
     16.0288     0.549509     0.471795
     16.6716     0.560418     0.481162
     17.3401     0.571544     0.490714
     18.0354     0.582891     0.500456
     18.7586     0.594463     0.510392
     19.5109     0.606265     0.520525
     20.2932     0.618301     0.530859
     21.1070     0.630576     0.541398
     21.9534     0.643095     0.552146
     22.8337     0.655862     0.563108
     23.7493     0.668883     0.574287
     24.7017     0.682162     0.585688
     25.6922     0.695705     0.597316
     26.7225     0.709517     0.609174
     27.7941     0.723603     0.621268
     28.9086     0.737968     0.633602
     30.0678     0.752619     0.646181
     31.2736     0.767561     0.659010
     32.5276     0.782799     0.672093
     33.8320     0.798340     0.685436
     35.1886     0.814189     0.699044
     36.5997     0.830353     0.712922
     38.0673     0.846838     0.727075
     39.5938     0.863650     0.741510
     41.1816     0.880796     0.756231
     42.8329     0.898283     0.771245
     44.5505     0.916116     0.786556
     46.3370     0.934304     0.802171
     48.1951     0.952852     0.818097
     50.1277     0.971769     0.834338
     52.1379     0.991062     0.850902
     54.2286     1.010737     0.867795
     56.4031     1.030803     0.885024
     58.6649     1.051268     0.902594
     61.0174     1.072138     0.920513
     63.4642     1.093424     0.938788
     66.0091     1.115131     0.957426
     68.6560     1.137270     0.976433
     71.4091     1.159848     0.995818
     74.2726     1.182874     1.015588
     77.2510     1.206358     1.035751
     80.3487     1.230307     1.056313
     83.5707     1.254733     1.077284
     86.9219     1.279643     1.098671
     90.4075     1.305047     1.120483
     94.0328     1.330956     1.142728
     97.8035     1.357380     1.165414
    101.7254     1.384328     1.188551
    105.8046     1.411810     1.212147
    110.0474     1.439839     1.236212
    114.4602     1.468424     1.260755
    119.0501     1.497577     1.285784
    123.8240     1.527308     1.311311
    128.7893     1.557629     1.337344
    133.9538     1.588553     1.363894
    139.3253     1.620090     1.390972
    144.9123     1.652254     1.418586
    150.7232     1.685056     1.446749
    156.7672     1.718509     1.475472
    163.0536     1.752626     1.504764
    169.5920     1.787421     1.534638
    176.3927     1.822907     1.565105
    183.4660     1.859096     1.596177
    190.8230     1.896005     1.627866
    198.4750     1.933646     1.660183
    206.4338     1.972035     1.693143
    214.7118     2.011185     1.726757
    223.3217     2.051113     1.761038
    232.2769     2.091834     1.796000
    241.5912     2.133363     1.831655
    251.2790     2.175716     1.868019
    261.3553     2.218910     1.905105
    271.8356     2.262962     1.942927
    282.7362     2.307889     1.981499
    294.0739     2.353707     2.020838
    305.8663     2.400435     2.060957
    318.1315     2.448090     2.101873
    330.8885     2.496692     2.143602
    344.1571     2.546259     2.186158
    357.9578     2.596809     2.229560
    372.3119     2.648364     2.273823
    387.2416     2.700941     2.318965
    402.7700     2.754563     2.365003
    418.9210     2.809249     2.411955
    435.7197     2.865021     2.459840
    453.1921     2.921900     2.508675
