r_um,VC-SiC-40pct,VC-SiC-40pct-Cf-100pct,WC-SiC-40pct-Cf-100pct,WC-SiC-Cf,WC-ZrC-Ta-Cf
1.00,0.0000,0.2134,0.0000,0.0000,0.0000
3.00,0.6602,2.9866,0.6657,1.6237,2.2836
5.00,2.4139,3.9469,1.1092,1.2327,2.7539
7.00,2.1860,2.3164,1.0997,1.9253,2.9166
9.00,2.2099,3.4489,1.1412,1.2095,4.0574
11.00,1.7567,2.1382,1.0298,1.2697,1.3378
13.00,1.7865,2.4944,1.0937,1.2180,1.9947
15.00,1.0896,2.4782,1.0396,0.9794,1.5559
17.00,1.3906,1.7255,1.1982,1.0141,2.2217
19.00,1.2442,1.8667,1.0208,0.8835,1.7090
21.00,1.4098,2.3237,0.9817,0.8047,1.7835
23.00,1.8222,1.4702,1.1075,1.1435,1.9488
25.00,1.3075,1.9968,0.9745,0.7870,1.1021
27.00,1.4586,1.9042,0.9798,0.9586,1.5536
29.00,1.3335,1.4492,0.9404,0.9581,0.8865
31.00,1.5035,1.5123,0.9981,0.4936,1.5795
33.00,1.2347,1.6274,1.0486,0.9192,1.2875
35.00,1.1716,1.8956,0.9725,0.9452,1.1567
37.00,1.5200,1.4904,1.0500,0.8743,1.3812
39.00,1.2769,1.7217,1.0236,0.9779,1.0021
41.00,1.2716,1.6871,0.9517,1.0790,1.5599
43.00,1.2745,1.7414,1.0142,0.6959,1.2113
45.00,1.2406,1.7434,0.9643,0.7637,1.3196
47.00,1.0674,1.6033,1.0058,0.7654,1.0942
49.00,1.2908,1.4705,0.9005,1.0541,1.0293
51.00,1.2623,1.7746,0.8997,0.8801,1.0663
53.00,1.1032,1.7197,0.9761,1.0714,1.1323
55.00,1.1768,1.5418,1.0018,1.2021,0.8654
57.00,1.1732,1.5523,1.0368,0.6438,1.0437
59.00,1.1984,1.4102,1.0126,0.9825,1.1402
61.00,1.3224,1.4531,0.9592,1.0594,1.2582
63.00,1.1586,1.4019,1.0134,0.9117,1.3893
65.00,1.3402,1.3432,0.9174,0.9856,0.9529
67.00,1.1574,1.3668,0.9805,0.8868,1.1506
69.00,1.1944,1.4191,1.0302,1.1204,0.8593
71.00,1.0306,1.5954,0.9079,1.1011,1.1716
73.00,1.2026,1.4013,0.9519,0.8504,1.6497
75.00,1.3481,1.4755,0.9319,0.7802,1.1328
77.00,1.1468,1.0418,0.9529,0.7837,1.2554
79.00,1.2279,1.3569,0.9752,0.8340,1.1438
81.00,1.0074,1.2260,0.9775,0.9859,1.2712
83.00,1.1429,1.3282,0.9667,0.8594,1.1367
85.00,1.2035,1.0899,1.0421,0.9091,1.1789
87.00,1.2663,1.0158,1.0262,0.8939,1.0944
89.00,1.3174,1.2782,1.0254,0.8960,1.2864
91.00,1.2464,1.1522,0.9787,0.7671,1.2986
93.00,1.1739,1.3023,0.9893,1.0281,1.1498
95.00,1.3463,1.3181,1.0322,0.7590,1.2101
97.00,1.2317,1.2200,1.0459,0.7924,1.1882
99.00,1.2144,1.0193,0.9426,0.8271,1.4982
