sample,image,class,n,d10,d25,d50,d75,d90,dmax
VC-SiC-40pct,Image1,pore,10,1.7292554150161492,1.780470286892152,1.821284771790802,1.8651256344092073,1.9464864012559504,2.1248952054300547
VC-SiC-40pct,Image1,fiber,6,3.7622011540861187,4.7313807400869665,5.709615979493492,13.481451904504006,16.50751012863571,17.05137373505743
VC-SiC-40pct,Image2,pore,11,1.6727810755082868,1.716539955348089,1.7802807743463755,1.830556394833566,1.9231569864201314,2.188731333309403
VC-SiC-40pct,Image2,fiber,0,0.0,0.0,0.0,0.0,0.0,0.0
VC-SiC-40pct-Cf-100pct,Image1,pore,0,0.0,0.0,0.0,0.0,0.0,0.0
VC-SiC-40pct-Cf-100pct,Image1,fiber,2,15.426313869463304,33.179480328745406,62.76809109421557,92.35670185968574,110.10986831896784,121.9453126251559
VC-SiC-40pct-Cf-100pct,Image2,pore,0,0.0,0.0,0.0,0.0,0.0,0.0
VC-SiC-40pct-Cf-100pct,Image2,fiber,16,3.6570360290206976,4.510579746403861,10.96741650805946,31.059624607651962,68.09762428193761,101.42508281870045
WC-SiC-40pct-Cf-100pct,Image1,pore,2,2.1838276257138127,2.1936308213933033,2.2099694808591206,2.226308140324938,2.2361113360044285,2.2426467997907555
WC-SiC-40pct-Cf-100pct,Image1,fiber,5,10.645141332588857,19.288069520476675,24.683432349666766,28.90432893820399,33.310527185841195,36.247992684266
WC-SiC-40pct-Cf-100pct,Image2,pore,3,1.8609704639989304,1.8903189461840353,1.93923308315921,1.9475501750890338,1.9525404302469282,1.9558672670188577
WC-SiC-40pct-Cf-100pct,Image2,fiber,7,14.612010785114865,26.566630366782295,41.70981852084735,53.91820115798723,56.933472054684245,58.15291363567762
WC-SiC-Cf,Image1,pore,6,1.6414046479527182,1.6817739137075218,1.7749389017269697,1.9571160279201183,2.4310874759916525,2.8619513146098363
WC-SiC-Cf,Image1,fiber,4,12.101086979267127,21.1109514725879,27.217656005442333,30.030005142342812,33.11002992294646,35.16337977668223
WC-SiC-Cf,Image2,pore,0,0.0,0.0,0.0,0.0,0.0,0.0
WC-SiC-Cf,Image2,fiber,0,0.0,0.0,0.0,0.0,0.0,0.0
WC-ZrC-Ta-Cf,Image1,pore,3,1.708214458126163,1.7547161071160193,1.832218855432447,2.017544514978856,2.128739910706701,2.202870174525265
WC-ZrC-Ta-Cf,Image1,fiber,10,3.710991023897489,3.8996955806244094,4.512548522119408,6.494797619664369,9.326321332436772,20.28580171026037
WC-ZrC-Ta-Cf,Image2,pore,2,1.740046985779879,1.750582146482167,1.768140747652647,1.785699348823127,1.7962345095254149,1.8032579499936068
WC-ZrC-Ta-Cf,Image2,fiber,23,3.77423680192083,4.229772373683419,5.478095681705032,7.53172664452814,12.728230330530042,27.484491332952434
